Location,Population,% ofworld,Date,Source (official or fromtheUnited Nations),Notes
World,8232000000,100.0,13 Jun 2025,UN projection[1][3],
India,1417492000,17.3,1 Jul 2025,Official projection[4],[b]
China,1408280000,17.2,31 Dec 2024,Official estimate[5],[c]
United States,340110988,4.1,1 Jul 2024,Official estimate[6],[d]
Indonesia,284438782,3.5,30 Jun 2025,National annual projection[7],
Pakistan,241499431,2.9,1 Mar 2023,2023 census result[8],[e]
Nigeria,223800000,2.7,1 Jul 2023,Official projection[9],
Brazil,212583750,2.6,1 Jul 2024,Official projection[10],
Bangladesh,169828911,2.1,14 Jun 2022,2022 census result[11],[f]
Russia,146028325,1.8,1 Jan 2025,Official estimate[13],[g]
Mexico,130417144,1.6,31 Mar 2025,National quarterly estimate[14],
Japan,123360000,1.5,1 Jun 2025,Monthly national estimate[15],
Philippines,114123600,1.4,1 Jul 2025,Official projection[16],
Democratic Republic of the Congo,112832000,1.4,1 Jul 2025,UN projection[17],
Ethiopia,111652998,1.4,1 Jul 2025,National annual projection[18],
Egypt,107271260,1.3,1 Jan 2025,Official estimate[19],
Vietnam,101343800,1.2,31 Dec 2024,Official estimate[20],
Iran,85961000,1.0,20 Mar 2024,Official estimate[21],
Turkey,85664944,1.0,31 Dec 2024,Official estimate[22],
Germany,83577140,1.0,31 Dec 2024,National quarterly estimate[23],
France,68668000,0.8,1 Jul 2025,Monthly national estimate[24],[h]
United Kingdom,68265209,0.8,1 Jul 2023,Official estimate[25],[i]
Tanzania,68153004,0.8,1 Jul 2025,Official projection[26],[j]
Thailand,65870610,0.8,30 Jun 2025,Monthly national estimate[27],
South Africa,63100945,0.8,30 Jun 2025,Official estimate[28],
Italy,58919837,0.7,31 May 2025,Monthly national estimate[29],
Kenya,53330978,0.7,1 Jul 2025,Official projection[30],
Colombia,52695952,0.6,1 Jan 2024,Official projection[31],
Sudan,51662000,0.6,1 Jul 2025,UN projection[32],
Myanmar,51316756,0.6,15 Oct 2024,Provisional 2024 census result[33],[k]
South Korea,51164582,0.6,30 Jun 2025,Monthly national estimate[35],
Spain,49315949,0.6,1 Jul 2025,National quarterly estimate[36],
Algeria,47400000,0.6,1 Jan 2025,National annual projection[37],
Argentina,47067641,0.6,1 Jul 2024,National annual projection[38],
Iraq,46118793,0.6,24 Feb 2025,2024 census result[39],
Uganda,45905417,0.6,10 May 2024,2024 census result[40],
Afghanistan,43844000,0.5,1 Jul 2025,UN projection[41][42](see note),[l]
Canada,41548787,0.5,1 Apr 2025,National quarterly estimate[49],
Uzbekistan,37860975,0.5,1 Jul 2025,Official estimate[50],
Poland,37412000,0.5,31 May 2025,Monthly national estimate[51],
